UniversityName,TutuionFee,Requirements ,AcceptanceRate,UniversityLinks,Country,AverageSalary,BestCourses
Wake Forest University,"$59,000 ",IELTS-6.5,30%.,https://www.wfu.edu/,United States of America,"$65,000 ","Biology, Bachelor of Arts in Psychology,"
university of indonesia,"$1,000-$3,000 USD",IELTS-6,10%,www.ui.ac.id/,Indonesia,"IDR 61,139,808","Engineering, Social Sciences, Law"
The University of Hong Kong,"$18,000-$30,000 USD",IELTS-6.5,11%,https://www.hku.hk/,Hong Kong,"$50,000-$100,000 USD","Business, Law, Medicine"
The Chinese University of Hong Kong,"$16,000-$24,000 USD",IELTS-6.5,14%,www.cuhk.edu.hk,Hong Kong,"$50,000-$100,000 USD","Business, Engineering, Law"
City University of Hong Kong,"$17,000-$25,000 USD",IELTS-6.5,19%,https://www.cityu.edu.hk/,Hong Kong,"$50,000-$100,000 USD","Business, Computer Science"
University of Oslo,$70-120 USD,IELTS-6.5,28%,https://www.uio.no/english/,Norway,52k euros,"Social Sciences, Humanities, Law"
Technical University of Denmark,"$11,000-$13,000 USD",IELTS-6.5,26%,https://www.dtu.dk/english/,Denmark,55k euros,"Engineering, Computer Science"
University of Helsinki,$1000,IELTS-6,12%,https://www.helsinki.fi/en,Finland,48k euros,"Social Sciences, Natural Sciences"
Aalto University,"$13,000-$20,000 USD",IELTS-6,26%,https://www.aalto.fi/en,Finland,45k euros,"Technology, Business, Art and Design"
Universiti Putra Malaysia (UPM),"$2,000-$3,000 USD",IELTS-6,25%,https://upm.edu.my/,Malaysia,MYR 50k,"Agriculture, Forestry, Engineering"
Uppsala University,$100 USD,IELTS-6.5,15%,https://www.uu.se/en,Sweden,56k euros,"Law, Social Sciences, Natural Sciences"
Ghent University,"$1,000-$3,000 USD",IELTS-6.5,38%,https://www.ugent.be/en,Belgium,55k euros,"Medicine, Engineering, Psychology"
University of Vienna,$22 USD,IELTS-6.5,22%,https://www.univie.ac.at/en/,Austria,50k euros,"Law, Social Sciences"
Stockholm University,$80 USD,IELTS-6.5,55%,https://www.su.se/,Sweden,55k euros,"Law, Social Sciences, Humanities"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, 
